Provincia,Año,Trimestre,Accesos telefonía fija (total),Variacion Trimestral,'Accesos telefonía fija (total)'
Entre Ríos,2015,2,-0.006961394715432334,-0.006961394715432334,229823
Entre Ríos,2015,3,2.357901515514116,2.357901515514116,235242
Entre Ríos,2015,4,-2.746533357138603,-2.746533357138603,228781
Entre Ríos,2016,1,-2.471796171884899,-2.471796171884899,223126
Entre Ríos,2016,2,0.8475032044674258,0.8475032044674258,225017
Entre Ríos,2016,3,-0.13954501215464044,-0.13954501215464044,224703
Entre Ríos,2016,4,-0.7018152850651771,-0.7018152850651771,223126
Entre Ríos,2017,1,0.0,0.0,223126
Entre Ríos,2017,2,0.8475032044674258,0.8475032044674258,225017
Entre Ríos,2017,3,-0.13954501215464044,-0.13954501215464044,224703
Entre Ríos,2017,4,-0.7018152850651771,-0.7018152850651771,223126
Entre Ríos,2018,1,-3.3393687871426936,-3.3393687871426936,215675
Entre Ríos,2018,2,-0.9296395038831617,-0.9296395038831617,213670
Entre Ríos,2018,3,-6.304581831796696,-6.304581831796696,200199
Entre Ríos,2018,4,3.6004175845034236,3.6004175845034236,207407
Entre Ríos,2019,1,-1.7665748986292695,-1.7665748986292695,203743
Entre Ríos,2019,2,-6.002660214093247,-6.002660214093247,191513
Entre Ríos,2019,3,1.430712275406898,1.430712275406898,194253
Entre Ríos,2019,4,-1.4105316262811862,-1.4105316262811862,191513
Entre Ríos,2020,1,-2.4426540234866567,-2.4426540234866567,186835
Entre Ríos,2020,2,-4.199962533786494,-4.199962533786494,178988
Entre Ríos,2020,3,1.2939414932844562,1.2939414932844562,181304
Entre Ríos,2020,4,-1.277412522613952,-1.277412522613952,178988
Entre Ríos,2021,1,-5.889780320468407,-5.889780320468407,168446
Entre Ríos,2021,2,23.20625007420776,23.20625007420776,207536
Entre Ríos,2021,3,-20.96648292344461,-20.96648292344461,164023
Entre Ríos,2021,4,26.528596599257416,26.528596599257416,207536
Entre Ríos,2022,1,-8.618745663402972,-8.618745663402972,189649
Formosa,2014,1,,,42201
Formosa,2014,2,0.10663254425251623,0.10663254425251623,42246
Formosa,2014,3,0.15149363253326165,0.15149363253326165,42310
Formosa,2014,4,-0.418340817773577,-0.418340817773577,42133
Formosa,2015,1,-0.662188783139106,-0.662188783139106,41854
Formosa,2015,2,-0.014335547378985236,-0.014335547378985236,41848
Formosa,2015,3,-0.10753202064615053,-0.10753202064615053,41803
Formosa,2015,4,-0.5645527832930597,-0.5645527832930597,41567
Formosa,2016,1,-1.0296629537854596,-1.0296629537854596,41139
Formosa,2016,2,-0.9625902428352706,-0.9625902428352706,40743
Formosa,2016,3,1.2026605797314849,1.2026605797314849,41233
Formosa,2016,4,-0.22797274028084624,-0.22797274028084624,41139
Formosa,2017,1,0.0,0.0,41139
Formosa,2017,2,-0.9625902428352706,-0.9625902428352706,40743
Formosa,2017,3,1.2026605797314849,1.2026605797314849,41233
Formosa,2017,4,-0.22797274028084624,-0.22797274028084624,41139
Formosa,2018,1,-2.4988453778652886,-2.4988453778652886,40111
Formosa,2018,2,-0.9224402283662836,-0.9224402283662836,39741
Formosa,2018,3,-0.845474447044614,-0.845474447044614,39405
Formosa,2018,4,-1.7764243116355827,-1.7764243116355827,38705
Formosa,2019,1,-2.340782844593725,-2.340782844593725,37799
Formosa,2019,2,-6.561020132807749,-6.561020132807749,35319
Formosa,2019,3,1.831875194654442,1.831875194654442,35966
Formosa,2019,4,-1.7989212033587276,-1.7989212033587276,35319
Formosa,2020,1,-2.1433222911180994,-2.1433222911180994,34562
Formosa,2020,2,-1.4611422950060793,-1.4611422950060793,34057
Formosa,2020,3,2.3695569192823784,2.3695569192823784,34864
Formosa,2020,4,-2.314708581918312,-2.314708581918312,34057
Formosa,2021,1,-8.198020964853036,-8.198020964853036,31265
Formosa,2021,2,16.459299536222606,16.459299536222606,36411
Formosa,2021,3,-16.31375133888111,-16.31375133888111,30471
Formosa,2021,4,19.49394506251847,19.49394506251847,36411
Formosa,2022,1,-7.104995743044684,-7.104995743044684,33824
Jujuy,2014,1,,,55953
Jujuy,2014,2,0.4182081389737746,0.4182081389737746,56187
Jujuy,2014,3,0.3185790307366432,0.3185790307366432,56366
Jujuy,2014,4,0.15967072348579414,0.15967072348579414,56456
Jujuy,2015,1,-0.017712909168199342,-0.017712909168199342,56446
Jujuy,2015,2,-0.005314814158663417,-0.005314814158663417,56443
Jujuy,2015,3,0.6094644154279516,0.6094644154279516,56787
Jujuy,2015,4,0.29936429112296103,0.29936429112296103,56957
Jujuy,2016,1,-0.9463279315975237,-0.9463279315975237,56418
Jujuy,2016,2,-0.06558190648374707,-0.06558190648374707,56381
Jujuy,2016,3,0.3547294301271764,0.3547294301271764,56581
Jujuy,2016,4,-0.28808257188809305,-0.28808257188809305,56418
Jujuy,2017,1,0.0,0.0,56418
Jujuy,2017,2,-0.06558190648374707,-0.06558190648374707,56381
Jujuy,2017,3,0.3547294301271764,0.3547294301271764,56581
Jujuy,2017,4,-0.28808257188809305,-0.28808257188809305,56418
Jujuy,2018,1,-3.7470310893686465,-3.7470310893686465,54304
Jujuy,2018,2,-1.2190630524454904,-1.2190630524454904,53642
Jujuy,2018,3,-1.0886991536482649,-1.0886991536482649,53058
Jujuy,2018,4,-1.1798409287949063,-1.1798409287949063,52432
Jujuy,2019,1,-1.1595971925541626,-1.1595971925541626,51824
Jujuy,2019,2,-4.561593084285276,-4.561593084285276,49460
Jujuy,2019,3,1.3202587949858513,1.3202587949858513,50113
Jujuy,2019,4,-1.3030550954842068,-1.3030550954842068,49460
Jujuy,2020,1,-2.982207844723006,-2.982207844723006,47985
Jujuy,2020,2,-4.791080546003956,-4.791080546003956,45686
Jujuy,2020,3,1.411811058092205,1.411811058092205,46331
Jujuy,2020,4,-1.3921564395329211,-1.3921564395329211,45686
Jujuy,2021,1,-5.982138948474369,-5.982138948474369,42953
Jujuy,2021,2,3.0382045491583742,3.0382045491583742,44258
Jujuy,2021,3,-20.556735505445346,-20.556735505445346,35160
Jujuy,2021,4,25.87599544937429,25.87599544937429,44258
Jujuy,2022,1,10.056938858511465,10.056938858511465,48709
La Pampa,2014,1,,,72038
La Pampa,2014,2,1.1091368444432037,1.1091368444432037,72837
La Pampa,2014,3,-0.9363373010969678,-0.9363373010969678,72155
La Pampa,2014,4,1.2584020511399174,1.2584020511399174,73063
La Pampa,2015,1,5.1996222438169815,5.1996222438169815,76862
La Pampa,2015,2,1.618485077151255,1.618485077151255,78106
La Pampa,2015,3,0.6977696975904557,0.6977696975904557,78651
La Pampa,2015,4,1.3795120214618928,1.3795120214618928,79736
La Pampa,2016,1,4.55001504966388,4.55001504966388,83364
La Pampa,2016,2,-1.7093709514898525,-1.7093709514898525,81939
La Pampa,2016,3,1.0629858797398084,1.0629858797398084,82810
La Pampa,2016,4,0.6690013283419782,0.6690013283419782,83364
