Provincia,Año,Trimestre,Accesos por cada 100 hogares,Variacion Trimestral
Mendoza,2017,4,33.33,-6.638655462184884
Mendoza,2018,1,37.07,11.221122112211223
Mendoza,2018,2,36.97,-0.26975991367683694
Mendoza,2018,3,37.99,2.758993778739538
Mendoza,2018,4,37.76,-0.6054224795999041
Mendoza,2019,1,37.66,-0.26483050847457834
Mendoza,2019,2,40.75,8.204992033988322
Mendoza,2019,3,40.74,-0.024539877300611135
Mendoza,2019,4,33.65,-17.40304369170349
Mendoza,2020,1,33.14,-1.5156017830609159
Mendoza,2020,2,36.25,9.384429692214846
Mendoza,2020,3,37.35,3.0344827586207046
Mendoza,2020,4,38.63,3.427041499330663
Mendoza,2021,1,39.15,1.3461040641987942
Mendoza,2021,2,40.97,4.64878671775224
Mendoza,2021,3,45.55,11.178911398584335
Mendoza,2021,4,47.51,4.3029637760702455
Mendoza,2022,1,48.74,2.588928646600719
Misiones,2014,1,23.14,
Misiones,2014,2,23.37,0.9939498703543714
Misiones,2014,3,23.57,0.8557980316645342
Misiones,2014,4,24.16,2.503182011030969
Misiones,2015,1,26.31,8.899006622516549
Misiones,2015,2,27.35,3.9528696313189116
Misiones,2015,3,28.31,3.5100548446069357
Misiones,2015,4,28.69,1.342281879194629
Misiones,2016,1,28.37,-1.1153712094806534
Misiones,2016,2,29.24,3.0666196686640834
Misiones,2016,3,29.91,2.291381668946646
Misiones,2016,4,29.72,-0.6352390504847927
Misiones,2017,1,29.52,-0.6729475100942128
Misiones,2017,2,30.09,1.9308943089430874
Misiones,2017,3,30.21,0.3988035892322994
Misiones,2017,4,31.14,3.0784508440913516
Misiones,2018,1,30.96,-0.578034682080919
Misiones,2018,2,31.63,2.1640826873384977
Misiones,2018,3,32.1,1.48593107809043
Misiones,2018,4,34.45,7.3208722741433085
Misiones,2019,1,36.26,5.2539912917271225
Misiones,2019,2,39.15,7.970215113072254
Misiones,2019,3,39.33,0.45977011494253706
Misiones,2019,4,39.79,1.1695906432748648
Misiones,2020,1,39.02,-1.9351595878361327
Misiones,2020,2,40.89,4.792414146591484
Misiones,2020,3,41.6,1.7363658596233789
Misiones,2020,4,42.64,2.499999999999991
Misiones,2021,1,43.17,1.2429643527204437
